person_id,id,character,role
27178,tm87233,Mr. Gower,ACTOR
99223,tm87233,Sam Wainwright,ACTOR
58067,tm87233,Harry Bailey,ACTOR
47762,tm87233,Pa Bailey,ACTOR
133886,tm87233,Cousin Tilly,ACTOR
133887,tm87233,Ruth Dakin,ACTOR
108232,tm87233,Cousin Eustace,ACTOR
34181,tm87233,Mrs. Hatch,ACTOR
14743,tm87233,Mr. Martini,ACTOR
106286,tm87233,Annie,ACTOR
133888,tm87233,Mrs. Martini,ACTOR
41682,tm87233,Little George,ACTOR
133889,tm87233,Little Sam,ACTOR
133890,tm87233,Little Mary,ACTOR
132909,tm87233,Little Violet,ACTOR
132910,tm87233,Little Marty Hatch,ACTOR
50379,tm87233,Little Harry Bailey,ACTOR
57481,tm87233,Nick,ACTOR
28727,tm87233,Potter's Bodyguard,ACTOR
132995,tm87233,Joe (Luggage Shop),ACTOR
27187,tm87233,Real Estate Salesman,ACTOR
31160,tm87233,Tom (Bldg. & Loan),ACTOR
132911,tm87233,The Bailey Child - Janie,ACTOR
132912,tm87233,The Bailey Child - Zuzu,ACTOR
27195,tm87233,The Bailey Child - Pete,ACTOR
60257,tm87233,The Bailey Child - Tommy,ACTOR
132914,tm87233,Townswoman (uncredited),ACTOR
69183,tm87233,Ed (uncredited),ACTOR
45692,tm87233,Elderly Woman (uncredited),ACTOR
27206,tm87233,Mr. Welch (uncredited),ACTOR
27209,tm87233,Nervous Banker (uncredited),ACTOR
133891,tm87233,One of Vi's Suitors (uncredited),ACTOR
100203,tm87233,Building & Loan Depositor (uncredited),ACTOR
1579025,tm87233,Young Girl (uncredited),ACTOR
27214,tm87233,Military Officer in Montage (uncredited),ACTOR
47779,tm87233,Townsman (uncredited),ACTOR
27220,tm87233,Sheriff (uncredited),ACTOR
133892,tm87233,Young Boy (uncredited),ACTOR
98666,tm87233,Jane Wainwright (uncredited),ACTOR
6134,tm87233,Singer at Martini's (uncredited),ACTOR
93473,tm87233,Policeman (uncredited),ACTOR
132913,tm87233,Young George's Friend (uncredited),ACTOR
62985,tm87233,Townsman (uncredited),ACTOR
100212,tm87233,Cop Arresting Violet (uncredited),ACTOR
108841,tm87233,Dr. Campbell (uncredited),ACTOR
36168,tm87233,Building & Loan Board Member (uncredited),ACTOR
32290,tm87233,Building & Loan Customer (uncredited),ACTOR
1060,tm87233,Ms. Davis (uncredited),ACTOR
1059535,tm87233,Elderly Woman (uncredited),ACTOR
27244,tm87233,High School Teacher at Poolside (uncredited),ACTOR
137512,tm87233,(uncredited),ACTOR
58335,tm87233,Woman at Graduation Dance (uncredited),ACTOR
27188,tm87233,Man on Porch (uncredited),ACTOR
95865,tm87233,Tollhouse Keeper (uncredited),ACTOR
137513,tm87233,Violet's Boyfriend (uncredited),ACTOR
27258,tm87233,Horace (uncredited),ACTOR
137455,tm87233,Relieved Banker in Potter's Office (uncredited),ACTOR
133893,tm87233,(uncredited),ACTOR
49075,tm87233,Photographer with Sheriff (uncredited),ACTOR
79658,tm87233,Bar Patron (uncredited),ACTOR
22487,tm87233,Townsman (uncredited),ACTOR
63894,tm87233,Elderly Man (voice) (uncredited),ACTOR
45075,tm87233,Carter (uncredited),ACTOR
579476,tm87233,(uncredited),ACTOR
41679,tm87233,Building & Loan Depositor (uncredited),ACTOR
133894,tm87233,Mr. Partridge (uncredited),ACTOR
22469,tm87233,Building & Loan Board Member (uncredited),ACTOR
133895,tm87233,Building & Loan Board Member (uncredited),ACTOR
14756,tm87233,Mr. Randall (uncredited),ACTOR
55109,tm87233,Man in Fantasy (uncredited),ACTOR
27280,tm87233,Building & Loan Depositor (uncredited),ACTOR
133896,tm87233,Townsman (uncredited),ACTOR
20176,tm87233,Building & Loan Board Member (uncredited),ACTOR
36165,tm87233,Townswoman (uncredited),ACTOR
71393,tm87233,Building & Loan Customer (uncredited),ACTOR
133897,tm87233,Marty Hatch (uncredited),ACTOR
133898,tm87233,Pianist in Nick's Place (uncredited),ACTOR
133899,tm87233,Bar Patron (uncredited),ACTOR
58854,tm87233,Man Whose Grandfather Planted Tree (uncredited),ACTOR
22472,tm87233,Building & Loan Customer (uncredited),ACTOR
133900,tm87233,Elderly Man (uncredited),ACTOR
1579092,tm87233,Student in Gym (uncredited),ACTOR
27201,tm87233,Man with Sheriff (uncredited),ACTOR
651274,tm87233,Bar Patron (uncredited),ACTOR
41705,tm87233,Building & Loan Customer (uncredited),ACTOR
79588,tm87233,School Dancer (uncredited),ACTOR
133901,tm87233,Bar Patron (uncredited),ACTOR
27315,tm87233,Military Officer in Montage (uncredited),ACTOR
1579136,tm87233,Infant Janie Bailey (uncredited),ACTOR
6144,tm87233,Senior Angel (voice) (uncredited),ACTOR
105983,tm87233,Bill-Poster (uncredited),ACTOR
113387,tm87233,Elderly Woman (uncredited),ACTOR
74817,tm87233,Photographer / Reporter (uncredited),ACTOR
13410,tm87233,Nick's Waitress (uncredited),ACTOR
118672,tm87233,Mickey (uncredited),ACTOR
45710,tm87233,Bar Patron (uncredited),ACTOR
47812,tm87233,Nick's Bouncer (uncredited),ACTOR
57721,tm87233,Potter's Secretary (uncredited),ACTOR
132915,tm87233,Townsman (uncredited),ACTOR
57861,tm87233,Man in Fantasy (uncredited),ACTOR
27336,tm87233,Nick's Bartender (uncredited),ACTOR
36507,tm87233,Freddie Othello (uncredited),ACTOR
36186,tm87233,Cashier / Nick's Assistant Bouncer (uncredited),ACTOR
47833,tm87233,Building & Loan Board Member (uncredited),ACTOR
20172,tm87233,Charlie (uncredited),ACTOR
20177,tm87233,,DIRECTOR
129611,tm19424,Al Roberts,ACTOR
129610,tm19424,Vera,ACTOR
129612,tm19424,Sue Harvey,ACTOR
72430,tm19424,Charles Haskell Jr.,ACTOR
26196,tm19424,Diner Owner,ACTOR
57722,tm19424,Holly,ACTOR
129614,tm19424,Joe,ACTOR
102596,tm19424,,DIRECTOR
53491,tm116781,Godfrey,ACTOR
45070,tm116781,Irene Bullock,ACTOR
127171,tm116781,Angelica Bullock,ACTOR
107577,tm116781,Cornelia Bullock,ACTOR
27180,tm116781,Alexander Bullock,ACTOR
127172,tm116781,Molly,ACTOR
36595,tm116781,Tommy Gray,ACTOR
47760,tm116781,Carlo,ACTOR
25663,tm116781,Mike Flaherty,ACTOR
127173,tm116781,Faithful George,ACTOR
14166,tm116781,Mrs. Merriweather (uncredited),ACTOR
27201,tm116781,Card Playing Party Guest (uncredited),ACTOR
57717,tm116781,Guthrie (uncredited),ACTOR
132394,tm116781,Charlie Van Rumple (uncredited),ACTOR
92015,tm116781,Socialite (uncredited),ACTOR
69183,tm116781,Forgotten Man (uncredited),ACTOR
571714,tm116781,,ACTOR
33011,tm116781,,ACTOR
83567,tm116781,,ACTOR
200063,tm116781,,ACTOR
27258,tm116781,,ACTOR
154427,tm116781,,ACTOR
28656,tm116781,Detective #2 (uncredited),ACTOR
98829,tm116781,,ACTOR
47817,tm116781,,ACTOR
565190,tm116781,,ACTOR
41672,tm116781,,ACTOR
27283,tm116781,,ACTOR
153512,tm116781,Socialite at Scavenger Hunt (uncredited),ACTOR
79581,tm116781,Socialite (uncredited),ACTOR
576630,tm116781,,ACTOR
21787,tm116781,,ACTOR
153841,tm116781,,ACTOR
582007,tm116781,,ACTOR
71901,tm116781,,ACTOR
134049,tm116781,Socialite (uncredited),ACTOR
58342,tm116781,,ACTOR
154517,tm116781,,ACTOR
27331,tm116781,Nightclub Patron (uncredited),ACTOR
74953,tm116781,,ACTOR
153265,tm116781,,ACTOR
575393,tm116781,,ACTOR
153696,tm116781,,ACTOR
127174,tm116781,,DIRECTOR
153696,tm112005,Burma Roberts aka 'Blondie',ACTOR
134183,tm112005,Dick Collier,ACTOR
45697,tm112005,Tony Santello,ACTOR
576674,tm112005,Detective,ACTOR
100222,tm112005,Mrs. Roberts,ACTOR
47794,tm112005,Gloria Stewart - The Child,ACTOR
45694,tm112005,Helen,ACTOR
33405,tm112005,Helen's Husband,ACTOR
1305735,tm112005,Waterfront-Raid Detective (uncredited),ACTOR
152676,tm112005,,DIRECTOR
28774,tm22806,The Woman Who Rocks the Cradle,ACTOR
41680,tm22806,The Dear One (Modern Story),ACTOR
55726,tm22806,The Boy (Modern Story),ACTOR
55727,tm22806,The Girl's Father (Modern Story),ACTOR
55728,tm22806,Arthur Jenkins (Modern Story),ACTOR
27289,tm22806,Mary T. Jenkins (Modern Story),ACTOR
55730,tm22806,"Mary, the Mother (Judean Story)",ACTOR
55729,tm22806,Mary Magdalene (Judean Story),ACTOR
55731,tm22806,First Pharisee (Judean Story),ACTOR
55732,tm22806,The Bride of Cana (Judean Story),ACTOR
55733,tm22806,Brown Eyes (French Story),ACTOR
27180,tm22806,Prosper Latour (French Story),ACTOR
55734,tm22806,Brown Eyes' Father (French Story),ACTOR
55735,tm22806,Brown Eyes' Mother (French Story),ACTOR
55736,tm22806,The Rhapsode (Babylonian Story),ACTOR
55738,tm22806,Princess Beloved (Attarea) (Babylonian Story),ACTOR
27335,tm22806,King Nabonidus (Babylonian Story),ACTOR
74193,tm22806,Uplifter,ACTOR
586035,tm22806,Uplifter,ACTOR
306700,tm22806,Uplifter,ACTOR
74192,tm22806,The Friendless One,ACTOR
108229,tm22806,The Musketeer of the Slums / Babylonian Warrior,ACTOR
24733,tm22806,The Kindly Policeman,ACTOR
74194,tm22806,The Governor,ACTOR
21781,tm22806,Judge of the Court,ACTOR
569623,tm22806,Prison Guard,ACTOR
14726,tm22806,The Strike Leader,ACTOR
182731,tm22806,Debutante,ACTOR
579874,tm22806,Crook,ACTOR
156618,tm22806,Bartender,ACTOR
74200,tm22806,Jesus Christ / Cardinal de Lorraine,ACTOR
586733,tm22806,Father of the Bride of Cana / Warden,ACTOR
578973,tm22806,The Bridegroom of Cana,ACTOR
42890,tm22806,Cana Wedding Guest,ACTOR
575639,tm22806,The Mercenary,ACTOR
586962,tm22806,Charles IX,ACTOR
74199,tm22806,Henri III,ACTOR
69186,tm22806,Catherine de Médici,ACTOR
156615,tm22806,Marguerite de Navarre / The Mountain Girl,ACTOR
154008,tm22806,Henri de Navarre,ACTOR
74195,tm22806,L'amiral de Coligny / Defendant,ACTOR
573569,tm22806,Page,ACTOR
55737,tm22806,Prince Belshazzar,ACTOR
51746,tm22806,High Priest of Bel / Friend of the Musketeer,ACTOR
584887,tm22806,The Friendly Neighbor,ACTOR
138547,tm22806,Captain of the Gateg / Bodyguard of the Princess Beloved,ACTOR
156642,tm22806,Extra (uncredited),ACTOR
138182,tm22806,Extra (uncredited),ACTOR
152749,tm22806,Extra (uncredited),ACTOR
24710,tm22806,Extra (uncredited),ACTOR
106661,tm22806,Extra (uncredited),ACTOR
51911,tm22806,Extra (uncredited),ACTOR
134050,tm22806,Extra (uncredited),ACTOR
576342,tm22806,Extra (uncredited),ACTOR
63069,tm22806,Extra (uncredited),ACTOR
47773,tm22806,Extra (uncredited),ACTOR
584986,tm22806,Extra (uncredited),ACTOR
21771,tm22806,Extra (uncredited),ACTOR
56588,tm22806,Extra (uncredited),ACTOR
71573,tm22806,Extra (uncredited),ACTOR
206026,tm22806,Extra (uncredited),ACTOR
238109,tm22806,Extra (uncredited),ACTOR
79611,tm22806,Extra (uncredited),ACTOR
584957,tm22806,Extra (uncredited),ACTOR
576346,tm22806,Extra (uncredited),ACTOR
173430,tm22806,Woman at Jenkins Employees Dance (uncredited),ACTOR
74196,tm22806,Woman at Jenkins Employees Dance (uncredited),ACTOR
74198,tm22806,Second Priest of Bel (uncredited),ACTOR
24706,tm22806,Jenkins Party Guest (uncredited),ACTOR
34568,tm22806,Crook (uncredited),ACTOR
475701,tm22806,The Mountain Girl's Brother (uncredited),ACTOR
173699,tm22806,Old Babylonian Mother / The City Mother (uncredited),ACTOR
220119,tm22806,Charioteer of the Priest of Bel (uncredited),ACTOR
28654,tm22806,Babylonian Soldier (uncredited),ACTOR
138553,tm22806,Babylonian Judge (uncredited),ACTOR
583759,tm22806,Favorite of the Harem (uncredited),ACTOR
207794,tm22806,Favorite of the Harem (uncredited),ACTOR
106315,tm22806,Favorite of the Harem (uncredited),ACTOR
585927,tm22806,Favorite of the Harem (uncredited),ACTOR
209258,tm22806,Favorite of the Harem (uncredited),ACTOR
212802,tm22806,Favorite of the Harem (uncredited),ACTOR
212818,tm22806,Favorite of the Harem (uncredited),ACTOR
