person_id,id,character,role
24714,tm122846,Extra in Wedding Scene (uncredited),ACTOR
24717,tm122846,Extra in Wedding Scene (uncredited),ACTOR
24715,tm122846,Bum (uncredited),ACTOR
24716,tm122846,Extra in Wedding Scene (uncredited),ACTOR
24718,tm122846,Bridegroom (uncredited),ACTOR
24720,tm122846,Extra in Heaven Scene (uncredited),ACTOR
24722,tm122846,Physician (uncredited),ACTOR
24723,tm122846,Maid (uncredited),ACTOR
24724,tm122846,His Kid Brother (uncredited),ACTOR
24725,tm122846,Extra in Reception Scene (uncredited),ACTOR
24726,tm122846,Chief of Police (uncredited),ACTOR
24728,tm122846,Extra in Heaven Scene (uncredited),ACTOR
24727,tm122846,Extra in Heaven Scene (uncredited),ACTOR
24729,tm122846,The Man's Friend (uncredited),ACTOR
24731,tm122846,Priest (uncredited),ACTOR
24732,tm122846,Cop (uncredited),ACTOR
24733,tm122846,Policeman (uncredited),ACTOR
21759,tm122846,,DIRECTOR
16353,tm58979,Cyrano de Bergerac,ACTOR
224830,tm58979,Roxane,ACTOR
18611,tm58979,Christian de Neuvillette,ACTOR
103312,tm58979,Le Bret,ACTOR
523520,tm58979,Antoine Comte de Guiche,ACTOR
57259,tm58979,Ragueneau,ACTOR
84206,tm58979,Duenna,ACTOR
70031,tm58979,Cardinal Richelieu,ACTOR
93673,tm58979,Orange Girl,ACTOR
28906,tm58979,Vicomte de Valvert,ACTOR
50369,tm58979,Montfleury,ACTOR
28777,tm58979,The Meddler,ACTOR
57838,tm58979,Bellerose,ACTOR
44213,tm58979,Sister Marthe,ACTOR
862131,tm58979,Doctor,ACTOR
15254,tm58979,Man with Gazette,ACTOR
17010,tm58979,Guardsman,ACTOR
563672,tm58979,Marquis,ACTOR
84205,tm58979,Cadet,ACTOR
62603,tm58979,Cadet,ACTOR
33391,tm58979,Cadet,ACTOR
35509,tm58979,Cadet,ACTOR
151311,tm58979,Capuchin Monk,ACTOR
49661,tm58979,,DIRECTOR
25652,tm18385,Christopher Cross,ACTOR
56295,tm18385,Katharine 'Kitty' March,ACTOR
55257,tm18385,Johnny Prince,ACTOR
40707,tm18385,Millie Ray,ACTOR
71916,tm18385,David Janeway,ACTOR
58704,tm18385,Adele Cross,ACTOR
71917,tm18385,Patch-eye Higgins,ACTOR
71918,tm18385,Mrs. Michaels,ACTOR
47762,tm18385,Charles Pringle,ACTOR
66594,tm18385,Pop LeJon,ACTOR
27292,tm18385,Dellarowe,ACTOR
47773,tm18385,J.J. Hogarth,ACTOR
71890,tm18385,Critic at Gallery (uncredited),ACTOR
71919,tm18385,Barney (uncredited),ACTOR
62987,tm18385,Principal Keeper (uncredited),ACTOR
47796,tm18385,Detective (uncredited),ACTOR
71920,tm18385,Penny - Bartender (uncredited),ACTOR
47770,tm18385,Policeman (uncredited),ACTOR
27249,tm18385,"Joe Williams, Morning World (uncredited)",ACTOR
71921,tm18385,Policeman (uncredited),ACTOR
71922,tm18385,Policeman (uncredited),ACTOR
71923,tm18385,Policeman (uncredited),ACTOR
27252,tm18385,Priest (uncredited),ACTOR
28512,tm18385,First Policeman in Park (uncredited),ACTOR
71924,tm18385,Marchetti (uncredited),ACTOR
60615,tm18385,Minor Role (uncredited),ACTOR
27264,tm18385,Employee (uncredited),ACTOR
71925,tm18385,Employee (uncredited),ACTOR
20176,tm18385,Employee (uncredited),ACTOR
49082,tm18385,Employee (uncredited),ACTOR
570700,tm18385,Employee (uncredited),ACTOR
29114,tm18385,Critic at Gallery (uncredited),ACTOR
47825,tm18385,Critic at Gallery (uncredited),ACTOR
13384,tm18385,Chauffeur (uncredited),ACTOR
41679,tm18385,Bellboy (uncredited),ACTOR
56559,tm18385,Chief of Detectives (uncredited),ACTOR
31160,tm18385,Detective (uncredited),ACTOR
69526,tm18385,Detective (uncredited),ACTOR
71926,tm18385,Nick (uncredited),ACTOR
70369,tm18385,Evangelist (uncredited),ACTOR
27291,tm18385,"Vince Conway, Ledger (uncredited)",ACTOR
71927,tm18385,Tiny - Bartender (uncredited),ACTOR
71928,tm18385,Holliday (uncredited),ACTOR
71929,tm18385,Milkman (uncredited),ACTOR
33999,tm18385,Ben - Bank Janitor (uncredited),ACTOR
13406,tm18385,First Policeman in Hogarth's Office (uncredited),ACTOR
22013,tm18385,Knitting Woman in Lobby (uncredited),ACTOR
34188,tm18385,Matron (uncredited),ACTOR
60618,tm18385,Secretary (uncredited),ACTOR
14770,tm18385,Derelict Saving Cross (uncredited),ACTOR
50381,tm18385,"Tom Crocker, Evening Globe (uncredited)",ACTOR
71402,tm18385,Drunk (uncredited),ACTOR
33007,tm18385,Prosecutor (uncredited),ACTOR
71930,tm18385,Policeman in Hogarth's Office (uncredited),ACTOR
20172,tm18385,Watchman (uncredited),ACTOR
49067,tm18385,Globe Loan Office Manager (uncredited),ACTOR
71931,tm18385,Woman (uncredited),ACTOR
71932,tm18385,Hurdy-Gurdy Man (uncredited),ACTOR
20266,tm18385,,DIRECTOR
45070,tm162994,Jane Mason,ACTOR
25020,tm162994,John Horace 'Johnny' Mason,ACTOR
31440,tm162994,Judge Joseph M. Doolittle,ACTOR
